species,gtdb_id,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Zobellia galactanivorans,GCF_000973105.1,"Zobellia galactanivorans Dsij is an aerobe, mesophilic, Gram-negative bacterium that was isolated from red alga .",negative,rod-shaped,no,+,+,+,-,+,+,-,+,-,+,+,-,+,-,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/973/105/GCF_000973105.1_genomic.fna.gz
Nocardiopsis potens,GCF_000341105.1,"Nocardiopsis potens DSM 45234 is an aerobe, spore-forming, mesophilic bacterium that was isolated from household waste.","['positive', 'positive']","[None, None]","['no', 'no']",+,+,+,-,+,+,-,-,+,+,+,-,-,-,+,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/341/105/GCF_000341105.1_genomic.fna.gz
Telmatospirillum siberiense,GCF_002845745.1,"Telmatospirillum siberiense 26-4b1 is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from mesotrophic Siberian fen as a component of methanogenic consortia.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,+,,,,-,,-,+,,,,,+,,,,,,,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,+,-,,,,,-,,,+,,,,-,,-,+,-,+,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/845/745/GCF_002845745.1_genomic.fna.gz
Limnohabitans planktonicus,GCF_001270065.2,"Limnohabitans planktonicus II-D5 is an aerobe, chemoorganotroph, mesophilic bacterium that was isolated from meso-eutrophic freshwater reservoir.","['negative', 'negative']","[None, None]","['no', 'no']",+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/270/065/GCF_001270065.2_genomic.fna.gz
Lelliottia nimipressuralis,GCF_004115925.1,"Lelliottia nimipressuralis E 62 is an aerobe, mesophilic, Gram-negative plant pathogen that was isolated from elm tree.",negative,rod-shaped,yes,+,-,-,-,+,-,-,-,-,+,+,+,+,-,+,+,+,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,-,-,"['+', '-']","['-', '+']",-,+,+,"['+', '-']",+,+,+,+,+,+,+,-,+,-,-,-,-,-,-,+,-,"['+/-', '+']",+,-,-,-,-,"['-', '+']",+,-,,,,,,,,,-,-,+,,,,+,,,+,+,,,+,+,-,+,-,+,-,-,-,+,+,,,+,-,+,+,+,+,-,+,-,-,+,+,-,-,-,-,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/115/925/GCF_004115925.1_genomic.fna.gz
Mycobacterium botniense,GCF_010723305.1,"Mycobacterium botniense E 347 is an aerobe, thermophilic bacterium that was isolated from brook water.",,,,+,+,+,-,+,+/-,+/-,-,-,+,+/-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,,,,,-,,,,-,,,+,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,+,,-,-,-,-,+/-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/010/723/305/GCF_010723305.1_genomic.fna.gz
Psittacicella hinzii,GCF_003585935.1,"Psittacicella hinzii 111 is a mesophilic, Gram-negative bacterium that forms circular colonies and was isolated from lung of dead budgerigar.",negative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/585/935/GCF_003585935.1_genomic.fna.gz
Acidipropionibacterium thoenii,GCF_000423445.1,"Acidipropionibacterium thoenii 15 is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from emmental cheese.",positive,rod-shaped,no,+,-,-,-,+,+,+,-,-,+,+,-,+,-,+,+,+,+,-,,,,,+,,,,,,+,,,,,,,-,,,,,,,+,,,+,-,,+,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,+,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/423/445/GCF_000423445.1_genomic.fna.gz
Actinobacillus minor,GCF_000175195.1,"Actinobacillus minor NM305 is a facultative anaerobe, mesophilic bacterium of the family Pasteurellaceae.",negative,rod-shaped,no,+,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,-,+/-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,+,+,+,+,-,-,+,+/-,+/-,-,-,+,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/175/195/GCF_000175195.1_genomic.fna.gz
Bombilactobacillus mellifer,GCF_000970795.1,"Bombilactobacillus mellifer Bin4N is an anaerobe, mesophilic bacterium that was isolated from honey stomach of honey bee .",,,,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/970/795/GCF_000970795.1_genomic.fna.gz
Allofrancisella guangzhouensis,GCF_000815225.1,"Allofrancisella guangzhouensis 08HL01032 is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from water, air condition system .",negative,ovoid-shaped,no,+/-,+/-,+/-,-,+/-,-,-,-,-,+,+/-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/815/225/GCF_000815225.1_genomic.fna.gz
Pseudomonas agarici,GCF_900109755.1,"Pseudomonas agarici 71A is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from mushroom .",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,+,-,,,+,,,-,,-,+,-,+,-,-,-,-,+,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,,,-,,,,,,,-,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,-,-,-,-,+,-,-,-,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,+,+,+,+,+,-,+,+,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/109/755/GCF_900109755.1_genomic.fna.gz
Solimonas soli,GCF_000474945.1,"Solimonas soli DSM 21787 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from soil of a ginseng field near Daejeon.","['negative', 'negative']","[None, None]","['no', None]",+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,-,,,,,,,,,,,-,-,,-,-,-,-,-,+,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/474/945/GCF_000474945.1_genomic.fna.gz
Sinosporangium album,GCF_900100605.1,"Sinosporangium album 6014 is an aerobe, spore-forming, mesophilic bacterium that builds an aerial mycelium and was isolated from soil.","['positive', 'positive']","[None, None]","['no', None]",+,+,+,-,+,+,-,+/-,-,+,+/-,-,-,-,+,-,+,-,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,-,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,+/-,+,+,-,-,+,+,+,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/100/605/GCF_900100605.1_genomic.fna.gz
Rhizobium hainanense,GCF_900094555.1,"Rhizobium hainanense I66 is a mesophilic, Gram-negative, motile bacterium that was isolated from root nodules of Desmodium sinuatum.",negative,rod-shaped,yes,+,+,-,-,+,-,-,+,-,+,+,-,+,-,+,+,+,-,+,+,+,+/-,+,+,+,-,"['-', '+']",+/-,"['+/-', '+']","['+/-', '+']","['+/-', '+']","['+/-', '+']",-,+,"['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,-,+,-,+,"['+', '-']",+,+,+,+,-,+,"['+', '-']",-,-,"['-', '+']",-,-,"['-', '+']",+,+,+,"['+/-', '+']",+,+,"['-', '+']",-,"['-', '+']","['-', '+']",-,,,,,,,,,,,+,,,,,,,+,-,,,-,-,,,,,,,,,,,,+,+,+,+,+,+,+,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,+,+,+,-,-,-,-,-,+,+,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,+,+,-,-,+,+,+,-,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/094/555/GCF_900094555.1_genomic.fna.gz
Streptococcus didelphis,GCF_000380005.1,"Streptococcus didelphis 94-11374-1 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from opposum, Didelphis virginiana, with suppurative dermatitis and hepatic fibrosis.",positive,ovoid-shaped,no,+,+,+,-,+,+,-,-,-,+,+,-,-,+,+,-,-,-,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,+,-,-,+,+,-,-,-,+,+/-,-,-,-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/380/005/GCF_000380005.1_genomic.fna.gz
Pseudoalteromonas spongiae,GCF_000238255.3,"Pseudoalteromonas spongiae UST010723-006 is an aerobe, Gram-negative, rod-shaped bacterium that was isolated from Surface of the sponge Mycale adhaerens in Hong Kong waters.","['negative', 'negative']","[None, None]","['no', 'yes']",+,+,+,-,+,-,-,+,+,+,+,-,-,-,+,-,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/238/255/GCF_000238255.3_genomic.fna.gz
Streptomyces himastatinicus,GCF_000158915.1,"Streptomyces himastatinicus DSM 41914 is an aerobe, spore-forming, ovoid-shaped bacterium that builds an aerial mycelium and was isolated from soil.",,ovoid-shaped,,+,-,-,+/-,+,+,+/-,+/-,+/-,+,+,-,+,-,+/-,+,+,+,-,,,,,-,,,,,,-,,,,,,,-,,,,,,,+,,,-,-,,-,,,,,,-,,,,,,,,,,,,,-,-,-,+,-,+,-,+,-,+,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/158/915/GCF_000158915.1_genomic.fna.gz
Ewingella americana,GCF_000735345.1,"Ewingella americana 1468-78 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from throat.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,+,-,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,-,+,+,+,+,+,+,-,-,+,-,-,-,-,-,-,+,-,-,-,-,-,+,-,+/-,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/735/345/GCF_000735345.1_genomic.fna.gz
Fructilactobacillus fructivorans,GCF_001434095.1,"Fructilactobacillus fructivorans CCUG 32260 is an anaerobe, mesophilic, Gram-positive bacterium of the family Lactobacillaceae.",positive,rod-shaped,yes,-,-,-,-,+,+,+,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/434/095/GCF_001434095.1_genomic.fna.gz
Salipiger bermudensis,GCF_000153725.1,"Salipiger bermudensis DSM 26914 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from Bermuda Atlantic Time Series Station.","['negative', 'negative']","[None, None]","['no', None]",+/-,+/-,-,-,+/-,-,-,-,-,-,+/-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/153/725/GCF_000153725.1_genomic.fna.gz
Marinobacterium stanieri,GCF_900155945.1,"Marinobacterium stanieri 146 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from seawater.",negative,rod-shaped,yes,+,+,-,-,+,+,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/155/945/GCF_900155945.1_genomic.fna.gz
Buttiauxella noackiae,GCF_001654865.1,"Buttiauxella noackiae EG 59-like NSW 11 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from snail.",negative,rod-shaped,yes,+,-,-,-,+,-,-,-,-,+,+,-,+,-,+,+,-,-,-,+,-,,,+,,,-,,+,+,+,+,+,+,-,-,+,-,,-,+,,,+,,+,+,+,-,-,+,,-,-,,,-,+,+,+,-,,,-,-,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,+,-,+,+,-,+,-,+,+,+,+,-,-,+,+,+,-,-,+,+,+,+,+,+,+,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,-,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/654/865/GCF_001654865.1_genomic.fna.gz
Aerococcus urinaeequi,GCF_001543205.1,"Aerococcus urinaeequi PUE is a facultative anaerobe, mesophilic, Gram-positive bacterium that was isolated from horse urine.",positive,sphere-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,-,+,+,+,+,+,+,+,-,+,+,-,-,+,-,-,-,+,-,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/543/205/GCF_001543205.1_genomic.fna.gz
Actinobacillus seminis,GCF_002263215.1,"Actinobacillus seminis 5 is an obligate aerobe, mesophilic, Gram-negative animal pathogen that was isolated from sheep semen.",negative,rod-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,+,+,-,-,-,-,"['+/-', '-']",-,-,+/-,"['+/-', '-']",+/-,-,-,-,-,-,"['+', '-']",-,-,-,-,"['+/-', '-']","['+/-', '-']",-,-,-,-,-,-,-,-,-,"['+/-', '-']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+/-', '-']",-,"['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/263/215/GCF_002263215.1_genomic.fna.gz
Acinetobacter tjernbergiae,GCF_000374425.1,"Acinetobacter tjernbergiae 7N16 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from Wastewater treatment plant.",negative,ovoid-shaped,no,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,"['-', '+']",,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,+,-,-,+,-,+,-,-,+,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/374/425/GCF_000374425.1_genomic.fna.gz
Leptotrichia shahii,GCF_008327825.1,"Leptotrichia shahii LB 37 is an anaerobe, mesophilic, Gram-negative bacterium that was isolated from human gingivitis.","['negative', 'negative']","[None, None]","['no', 'no']",-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/008/327/825/GCF_008327825.1_genomic.fna.gz
Vibrio mimicus,GCF_000338875.1,"Vibrio mimicus 1721-77 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from human ear infection.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,-,+,-,-,+,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,+,-,-,-,+,-,+,"['-', '+']",+,+,+,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,,,,,,,,,-,+,-,+,+,+,-,+,+,-,-,-,+,+,-,+,,,,,,,,,,,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,+,+,+,-,+,-,-,-,+,-,-,+,+,+,+,-,+,-,-,-,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/338/875/GCF_000338875.1_genomic.fna.gz
Xenorhabdus vietnamensis,GCF_002127535.1,"Xenorhabdus vietnamensis VN01 is a facultative anaerobe, mesophilic, Gram-negative animal pathogen that was isolated from nematode Steinernema sangi.",negative,rod-shaped,yes,+,-,+,-,+,+,-,+,-,+,+,-,-,-,+,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/127/535/GCF_002127535.1_genomic.fna.gz
Companilactobacillus nantensis,GCF_001435815.1,"Companilactobacillus nantensis LP33 is an anaerobe, mesophilic, Gram-positive bacterium that was isolated from wheat sourdough.","['positive', 'positive']","[None, None]","['no', 'no']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/435/815/GCF_001435815.1_genomic.fna.gz
Staphylococcus arlettae,GCF_002902345.1,"Staphylococcus arlettae BP 47 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from skin of poultry.",positive,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,+/-,-,-,+,+/-,+/-,-,-,-,+/-,+,+/-,-,-,-,-,-,+/-,-,-,-,-,-,-,+/-,-,-,+/-,+/-,-,+,+/-,-,+/-,-,-,-,-,+/-,+/-,-,-,-,-,-,-,+/-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/902/345/GCF_002902345.1_genomic.fna.gz
