species,gtdb_id,family,description,gram_stain,cell_shape,motility,Alkaline phosphatase,Esterase,Esterase Lipase,Lipase,Leucine arylamidase,Valine arylamidase,Cystine arylamidase,Trypsin,alpha- Chymotrypsin,Acid phosphatase,Naphthol-AS-BI-phosphohydrolase,alpha- Galactosidase,beta- Galactosidase,beta- Glucuronidase,alpha- Glucosidase,beta- Glucosidase,N-acetyl-beta- glucosaminidase,alpha- Mannosidase,alpha- Fucosidase,GLY,ERY,DARA,LARA,RIB,DXYL,LXYL,ADO,MDX,GAL,GLU,FRU,MNE,SBE,RHA,DUL,INO,MAN,SOR,MDM,MDG,NAG,AMY,ARB,ESC,SAL,CEL,MAL,LAC,MEL,SAC,TRE,INU,MLZ,RAF,AMD,GLYG,XLT,GEN,TUR,LYX,TAG,DFUC,LFUC,DARL,LARL,GNT,2KG,5KG,NIT,PYZ,PYRA,PAL,beta GUR,beta GAL,alpha GLU,beta NAG,URE,GEL,XYL,NO3,TRP,GLU_ Ferm,ADH Arg,PNPG,GLU_ Assim,ARA,CAP,ADI,MLT,CIT,PAC,OX,ONPG,LDC Lys,ODC,H2S,TDA Trp,IND,VP,Sor,NO2,N2,MTE,LTE,MbGa,MaGa,MbGu,PLE,FUC,MTL,HBG,3MDG,SAT,MUC,LTAT,DTAT,MTAT,DMLT,LMLT,CATE,TATE,TTE,GRT,GAT,TRY,PAT,pOBE,QAT,GTE,mOBE,BAT,PPAT,CMT,TGE,BET,PCE,ABT,HIN,LAT,CYT,HIS,SUC,FUM,GRE,GYT,AVT,ETN,TTN,GLN,ITA,3OBU,APT,GTT,PRO,DALA,LALA,SER,MNT,PROP,TYR,2KT,MAC,CAT,Q,MOB,OF-O,OF-F,genome_path
Pseudomonas taeanensis,GCF_000498575.2,Pseudomonadaceae,"Pseudomonas taeanensis MS-3 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from crude oil-contaminated seawater near the shore.",negative,rod-shaped,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,,,,,+,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,-,-,-,+,-,+,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/498/575/GCF_000498575.2_genomic.fna.gz
Eikenella corrodens,GCF_900187105.1,Neisseriaceae,"Eikenella corrodens 333/54-55 is a mesophilic, Gram-negative, rod-shaped bacterium that was isolated from sputum.",negative,rod-shaped,no,-,+,+,-,+,-,-,-,-,-,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/187/105/GCF_900187105.1_genomic.fna.gz
Pseudomonas salomonii,GCF_900107155.1,Pseudomonadaceae,"Pseudomonas salomonii 584-1 is an aerobe, mesophilic, Gram-negative plant pathogen that was isolated from Allium sativum.",negative,rod-shaped,yes,-,+,+,-,+,+,-,+,-,+,+,-,-,-,-,-,-,-,-,+,+,,,+,,,+,,+,+,+,+,-,-,-,+,+,+,,-,-,,,-,,-,-,-,-,+,+,,-,-,,,+,-,-,-,-,,,+,+,+,+,+,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,+,-,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,-,+,+,+,-,+,+,-,+,+,-,-,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/107/155/GCF_900107155.1_genomic.fna.gz
Enterococcus sulfureus,GCF_000407605.1,Enterococcaceae,"Enterococcus sulfureus CCUG 30571 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from plant material.",positive,ovoid-shaped,no,+,+,+,-,-,-,-,-,-,+,+,+,+,-,+,+,-,-,-,+/-,-,-,-,+,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,+,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,-,-,+,+,-,-,-,-,-,-,+,+,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/407/605/GCF_000407605.1_genomic.fna.gz
Pseudomonas citronellolis,GCF_900112375.1,Pseudomonadaceae,"Pseudomonas citronellolis DSM 50332 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from soil under pine trees.",negative,rod-shaped,no,+,+,+,-,+,-,-,+,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,-,,,,,-,,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,-,+,-,+,-,+,-,+,+,+,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/112/375/GCF_900112375.1_genomic.fna.gz
Kosakonia cowanii,GCF_001975225.1,Enterobacteriaceae,"Kosakonia cowanii 888-76 is a facultative anaerobe, mesophilic, Gram-negative bacterium that was isolated from blood.",negative,rod-shaped,yes,+,+,-,-,+,-,-,+,-,+,+,-,+,-,-,+,+,-,-,+,-,-,+,+,+,-,-,-,+,+,+,+,-,+,+,-,+,+,-,-,+,+,+,+,+,+,+,+,+,+,+,-,-,+,+/-,-,-,+,-,"['+/-', '+']",-,-,-,-,-,+,+,-,,,,,,,,,-,-,+,,,,-,,,+,-,,,+,-,-,+/-,-,-,-,-,-,-,+,,,+,+,+,+,+,-,-,-,-,-,+,+,-,-,-,+,+,+,+,-,+,+,-,+,-,-,+,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,+,+,+,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/975/225/GCF_001975225.1_genomic.fna.gz
Halalkalibacter krulwichiae,GCF_002109385.1,Bacillaceae,"Halalkalibacter krulwichiae AM31D is a facultative anaerobe, spore-forming, mesophilic bacterium that was isolated from soil.",positive,rod-shaped,yes,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/109/385/GCF_002109385.1_genomic.fna.gz
Streptococcus peroris,GCF_000187585.1,Streptococcaceae,"Streptococcus peroris O-66 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from human tooth surface.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+/-,+,-,-,+,+,-,+,-,-,-,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/187/585/GCF_000187585.1_genomic.fna.gz
Macrococcus lamae,GCF_004359545.1,Staphylococcaceae,"Macrococcus lamae DSM 19359 is an obligate aerobe, mesophilic, Gram-positive bacterium that was isolated from llama skin.",positive,coccus-shaped,no,+,+,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,,,-,,,-,,-,+,+,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/359/545/GCF_004359545.1_genomic.fna.gz
Streptococcus urinalis,GCF_000188055.2,Streptococcaceae,"Streptococcus urinalis DSM 16830 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from human urine, 55-years old female with cystitis.",positive,coccus-shaped,no,+,+,+,-,+,-,-,-,-,+,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/188/055/GCF_000188055.2_genomic.fna.gz
Enterococcus moraviensis,GCF_000407445.1,Enterococcaceae,"Enterococcus moraviensis Svec 330 is a microaerophile, spore-forming, mesophilic bacterium that was isolated from spring Hajek.",positive,ovoid-shaped,no,-,+,+,-,+,-,+,-,+,+,+,-,+,-,+,+,-,-,-,"['+', '-']",-,-,+/-,"['+', '-']",-,-,-,-,"['+', '-']",+,+,+,-,-,-,"['+/-', '-']",+,-,-,"['+', '-']",+,+,+,+,+,+,+,-,-,+,+,-,+,-,+,-,-,"['+', '-']","['+/-', '-']",-,"['+', '-']",-,-,-,-,-,-,"['+/-', '-']",,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,+,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/407/445/GCF_000407445.1_genomic.fna.gz
Streptococcus pseudopneumoniae,GCF_002087075.1,Streptococcaceae,"Streptococcus pseudopneumoniae O 108 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from human sputum, pneumonia.",positive,coccus-shaped,no,+,+,+,-,+,+,-,-,+,+,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+/-,+/-,-,-,-,-,-,-,-,-,+,+/-,-,-,+/-,-,+/-,+/-,-,+,-,-,-,-,+/-,+/-,-,+/-,+/-,-,-,-,-,-,+/-,+/-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/087/075/GCF_002087075.1_genomic.fna.gz
Pseudomonas thivervalensis,GCF_001269655.1,Pseudomonadaceae,"Pseudomonas thivervalensis CCUG 54622 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from rhizoplane of Brassica napus.",negative,rod-shaped,yes,-,+,+,-,+,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,+,,+,-,-,-,-,+,+,+,-,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/269/655/GCF_001269655.1_genomic.fna.gz
Helicobacter pametensis,GCF_000518225.1,Helicobacteraceae,"Helicobacter pametensis B9 is a microaerophile, mesophilic, Gram-negative bacterium that was isolated from Tern faeces.",negative,rod-shaped,yes,+,+,+,-,+,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/518/225/GCF_000518225.1_genomic.fna.gz
Lederbergia lenta,GCF_001591545.1,Bacillaceae,"Lederbergia lenta 670 is an aerobe, spore-forming, mesophilic bacterium that was isolated from soil.",positive,rod-shaped,yes,+,+,+,-,-,-,-,-,-,-,-,-,+,-,+,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['+', '-']",-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,+,-,-,,,,-,,,-,-,,,-,-,,+,-,-,-,-,-,+,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/591/545/GCF_001591545.1_genomic.fna.gz
Pseudomonas orientalis,GCF_001439815.1,Pseudomonadaceae,"Pseudomonas orientalis DSM 17489 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from spring water.",negative,rod-shaped,yes,-,+,+,-,+,-,-,+,-,+,-,-,-,-,-,-,-,-,-,"['-', '+']",-,-,-,"['-', '+']",-,-,"['-', '+']",-,"['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,"['-', '+']",-,"['-', '+']","['-', '+']","['-', '+']",-,-,"['-', '+']",-,-,"['-', '+']",-,-,-,-,-,"['-', '+']","['-', '+']",-,-,"['-', '+']",-,-,"['-', '+']",-,-,-,-,-,-,"['-', '+']","['-', '+']","['-', '+']","['-', '+']",-,,,,,,,,,,,+,,,,,,,+,+,,,+,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,-,-,-,+,+,+,-,+,+,+,+,+,+,-,-,-,-,-,+,+,+,+,-,+,+,+,+,+,+,+,+,+,-,+,-,+,+,+,+,+,+,+,+,+,+,+,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/439/815/GCF_001439815.1_genomic.fna.gz
Pseudomonas extremaustralis,GCF_900102035.1,Pseudomonadaceae,"Pseudomonas extremaustralis 14-3 is an obligate aerobe, mesophilic, Gram-negative bacterium that was isolated from temporary water pond.",negative,rod-shaped,yes,+,-,+,+,+,-,-,+,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,+,,,,,+,,,,+,,,-,,,-,,,,,,,,,,,,,,,,,,,+,,,,,,,,,,,-,-,,+,-,-,+,-,+,+,+,+,+,+,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/102/035/GCF_900102035.1_genomic.fna.gz
Pseudomonas viridiflava,GCF_001642795.1,Pseudomonadaceae,"Pseudomonas viridiflava PV6 is an obligate aerobe, mesophilic, Gram-negative plant pathogen that was isolated from dwarf or runner bean.",negative,rod-shaped,yes,+,+,+,-,+,-,-,+,-,+,+,-,-,-,-,+,-,-,-,+,+,,,+,,,-,,+,+,+,"['-', '+']",-,-,-,+,+,+,,-,-,,,+,,-,-,-,-,-,-,,-,-,,,-,-,-,+,-,,,+,-,+,-,-,,,,,,,,,-,+/-,+,-,-,-,-,-,+,+,"['+', '-']",-,+,+,-,+,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,+,+,-,+,+,+,+,+,+,-,+,+,-,+,+,+,-,-,-,-,-,+,+,-,+,-,+,+,-,+,+,+,+,+,-,-,+,-,+,+,+,+,+,+,+,+,+,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/001/642/795/GCF_001642795.1_genomic.fna.gz
Helicobacter muridarum,GCF_000765805.2,Helicobacteraceae,"Helicobacter muridarum ST1 is a microaerophile, mesophilic, Gram-negative animal pathogen that was isolated from intestinal mucosa of rats and mice.",negative,rod-shaped,yes,-,+,+,-,-,-,-,-,-,+,-,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/765/805/GCF_000765805.2_genomic.fna.gz
Paeniclostridium sordellii,GCF_000953675.1,Clostridiaceae,"Paeniclostridium sordellii 211 is an anaerobe, spore-forming, mesophilic human pathogen that was isolated from Environment, Spore appendages.",positive,rod-shaped,no,+,+,+,-,-,-,-,+,-,+,+,+,+,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/953/675/GCF_000953675.1_genomic.fna.gz
Streptococcus orisratti,GCF_000380105.1,Streptococcaceae,"Streptococcus orisratti A63 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from tooth surface of laboratory rat.",positive,coccus-shaped,no,-,+,+,-,+,-,-,-,-,+,+,+,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+/-,+,+,+,+,+,+,+,+,+,+,+,-,+,+,+,-,+,-,-,-,-,-,-,-,-,-,+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/380/105/GCF_000380105.1_genomic.fna.gz
Streptococcus australis,GCF_000186465.1,Streptococcaceae,"Streptococcus australis AI-1 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from saliva from children.",positive,ovoid-shaped,no,-,+,+,-,+,+,-,-,-,+,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,-,+,+/-,+,+,+,+,-,+,-,-,-,-,+,-,-,-,+,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/186/465/GCF_000186465.1_genomic.fna.gz
Streptococcus entericus,GCF_000380025.1,Streptococcaceae,"Streptococcus entericus DSM 14446 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from intestine of cow.",positive,ovoid-shaped,no,+,+,+,-,+,-,-,-,-,+,+,-,+,-,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,+,+,+,-,-,-,-,-,-,-,-,+,+/-,+,+,+,+,+,+,-,+,+,-,-,-,+,+,-,+,+/-,-,-,-,-,-,-,-,-,+/-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/000/380/025/GCF_000380025.1_genomic.fna.gz
Staphylococcus lugdunensis,GCF_002901705.1,Staphylococcaceae,"Staphylococcus lugdunensis N860297 is a microaerophile, mesophilic, Gram-positive bacterium that was isolated from axillary lymph node.",positive,coccus-shaped,no,-,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,+,-,,,-,,,-,,-,+,+,+,-,-,-,-,-,-,,-,+,,,-,,-,+,+,-,+,+,,-,-,,,-,-,-,-,-,,,+,-,+,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,+,+,-,+,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,+,+,-,-,-,-,-,+,-,-,-,-,-,+,+,+,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/901/705/GCF_002901705.1_genomic.fna.gz
Neisseria canis,GCF_900636765.1,Neisseriaceae,"Neisseria canis H6 is an aerobe, mesophilic, Gram-negative bacterium that was isolated from oral mucosa of dog.",negative,coccus-shaped,no,,,,,,,,,,,,,,,,,,,,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,-,-,-,-,-,+,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/900/636/765/GCF_900636765.1_genomic.fna.gz
Helicobacter cholecystus,GCF_003364215.1,Helicobacteraceae,"Helicobacter cholecystus Hkb-1 is a mesophilic, Gram-negative bacterium of the family Helicobacteraceae.",negative,rod-shaped,yes,+,+,+,-,-,-,-,-,-,+,+,-,-,-,+,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/003/364/215/GCF_003364215.1_genomic.fna.gz
Macrococcus brunensis,GCF_004359615.1,Staphylococcaceae,"Macrococcus brunensis DSM 19358 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from llama skin.",positive,coccus-shaped,no,+,+,-,-,-,-,-,-,-,+,+,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/004/359/615/GCF_004359615.1_genomic.fna.gz
Citrobacter freundii,GCF_011064845.1,Enterobacteriaceae,"Citrobacter freundii DSM 30039 is an aerobe, mesophilic, Gram-negative bacterium that has multiple antibiotic resistances and was isolated from water of a canal.",negative,rod-shaped,yes,+,+,-,-,+,-,-,-,-,+,+,-,+,-,+,-,-,-,-,+,-,,,+,,,-,,+,+,+,+,+,+,-,+,+,+,,+,+,,,-,,+,+,+,+,+,+,,-,+,,,-,+,-,+,-,,,-,-,+,+,+,,,,,,,,,,,+,,,,,,,+,-,,,+,-,,,,,,,,,,,,+,-,+,-,+,+,+,+,-,+,+,+,+,-,-,+,+,+,-,+,+,+,-,-,-,-,+,+,-,+,+,-,-,-,-,-,+,-,-,+,+,-,+,+,+,-,+,-,+,+,+,+,+,+,+,-,+,+,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/011/064/845/GCF_011064845.1_genomic.fna.gz
Citrobacter koseri,GCA_900446925.1,Enterobacteriaceae,"Citrobacter koseri DSM 4595 is a facultative anaerobe, mesophilic, Gram-negative bacterium of the family Enterobacteriaceae.",negative,rod-shaped,yes,+,+,-,-,+,+,-,+,-,+,+,-,+,-,+,+,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCA/900/446/925/GCA_900446925.1_genomic.fna.gz
Staphylococcus xylosus,GCF_002732165.1,Staphylococcaceae,"Staphylococcus xylosus KL 162 is an aerobe, mesophilic, Gram-positive bacterium that was isolated from human skin.",positive,coccus-shaped,no,+,+,+,-,-,-,-,-,-,+,-,-,+,+,+,-,-,-,-,-,-,,,-,,,-,,-,-,-,-,-,-,-,-,-,-,,-,-,,,-,,-,-,-,-,-,-,,-,-,,,-,-,-,-,-,,,-,-,-,-,-,,,,,,,,,,,-,,,,,,,-,-,,,-,-,,,,,,,,,,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,/home/ab/datasets/BIOINFO_DATA/GTDB/release220/220.0/genomic_files_reps/gtdb_genomes_reps_r220/database/GCF/002/732/165/GCF_002732165.1_genomic.fna.gz
